Standard,TMP_Mean,TMP_Variance,TMP_Error,TMP_Accuracy,TMP_DNL,TMP_INL,NTC_Mean,NTC_Variance,NTC_Error,NTC_Accuracy,NTC_DNL,NTC_INL
41.2,40.62,0.002,-0.58,98.592,0.1,0.1,41.37,0.002,0.17,99.587,0.1,0.1
41.3,40.714,0.001,-0.586,98.582,0.1,0.1,41.443,0.003,0.143,99.654,0.1,0.1
41.4,40.82,0.004,-0.58,98.599,0.2,0.1,41.52,0.004,0.12,99.71,0.2,0.1
41.5,40.887,0.001,-0.613,98.524,0.1,0.1,41.625,0.002,0.125,99.699,0.1,0.1
41.6,40.989,0.001,-0.611,98.531,0.1,0.1,41.722,0.002,0.122,99.706,0.1,0.1
41.7,41.1,0.0,-0.6,98.561,0.0,0.0,41.82,0.002,0.12,99.712,0.1,0.1
41.8,41.2,0.0,-0.6,98.565,0.0,0.0,41.95,0.003,0.15,99.641,0.111,0.078
41.9,41.33,0.002,-0.57,98.64,0.1,0.1,42.05,0.003,0.15,99.642,0.1,0.1
42.0,41.41,0.001,-0.59,98.595,0.1,0.1,42.16,0.003,0.16,99.619,0.111,0.078
42.1,41.55,0.003,-0.55,98.694,0.114,0.071,42.238,0.003,0.137,99.673,0.114,0.071
42.2,41.64,0.003,-0.56,98.673,0.111,0.078,42.35,0.003,0.15,99.645,0.111,0.078
42.3,41.7,0.0,-0.6,98.582,0.0,0.0,42.414,0.001,0.114,99.73,0.1,0.1
42.4,41.79,0.008,-0.61,98.561,0.211,0.167,42.54,0.003,0.14,99.67,0.1,0.1
42.5,41.91,0.001,-0.59,98.612,0.1,0.1,42.64,0.003,0.14,99.671,0.1,0.1
42.6,42.038,0.003,-0.563,98.68,0.114,0.071,42.738,0.003,0.137,99.677,0.114,0.071
42.7,42.13,0.002,-0.57,98.665,0.111,0.078,42.83,0.002,0.13,99.696,0.111,0.078
42.8,42.213,0.001,-0.587,98.627,0.086,0.086,42.912,0.001,0.113,99.737,0.086,0.086
42.9,42.288,0.001,-0.613,98.572,0.1,0.1,43.0,0.0,0.1,99.767,0.0,0.0
43.0,42.39,0.001,-0.61,98.581,0.1,0.1,43.09,0.001,0.09,99.791,0.1,0.1
43.1,42.52,0.004,-0.58,98.654,0.2,0.1,43.19,0.001,0.09,99.791,0.1,0.1
43.2,42.61,0.001,-0.59,98.634,0.1,0.1,43.29,0.001,0.09,99.792,0.1,0.1
43.3,42.7,0.0,-0.6,98.614,0.0,0.0,43.41,0.001,0.11,99.746,0.1,0.1
43.4,42.812,0.004,-0.588,98.646,0.214,0.157,43.488,0.001,0.088,99.798,0.1,0.1
43.5,42.9,0.0,-0.6,98.621,0.0,0.0,43.59,0.001,0.09,99.793,0.1,0.1
43.6,43.03,0.005,-0.57,98.693,0.111,0.111,43.7,0.0,0.1,99.771,0.0,0.0
43.7,43.1,0.0,-0.6,98.627,0.0,0.0,43.771,0.002,0.071,99.837,0.1,0.1
43.8,43.2,0.0,-0.6,98.63,0.0,0.0,43.87,0.002,0.07,99.84,0.1,0.1
43.9,43.3,0.002,-0.6,98.633,0.111,0.122,43.97,0.002,0.07,99.841,0.1,0.1
44.0,43.41,0.001,-0.59,98.659,0.089,0.089,44.08,0.002,0.08,99.818,0.1,0.1
44.1,43.557,0.003,-0.543,98.769,0.1,0.1,44.186,0.001,0.086,99.806,0.1,0.1
44.2,43.6,0.003,-0.6,98.643,0.1,0.1,44.25,0.003,0.05,99.887,0.1,0.1
44.3,43.689,0.001,-0.611,98.621,0.1,0.1,44.344,0.003,0.044,99.9,0.1,0.1
44.4,43.81,0.005,-0.59,98.671,0.189,0.156,44.43,0.002,0.03,99.932,0.1,0.1
